query_id,lang,query,relevant,baseline_top1,improved_top1,manual_category,improved_error
Q01-M01,ar,كيف يمكن تجديد التصريح؟ فضلا,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M02,ar,كيف يمكن تجديد التصريح؟ لو سمحت,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M03,ar,كيف يمكن تجديد التصريح؟ من فضلك,D01,D02,D01,modifier_noise_ranking_instability,False
Q01-M04,ar,كيف يمكن تجديد التصريح؟ الان,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M05,ar,كيف يمكن تجديد التصريح؟ اليوم,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M06,ar,كيف يمكن تجديد التصريح؟ بسرعة,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M07,ar,كيف يمكن تجديد التصريح؟ للضرورة,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M08,ar,كيف يمكن تجديد التصريح؟ عبر الجوال,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M09,ar,كيف يمكن تجديد التصريح؟ من التطبيق,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M10,ar,كيف يمكن تجديد التصريح؟ الكترونيا,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M11,ar,كيف يمكن تجديد التصريح؟ ممكن تساعدني,D01,D11,D01,cross_language_intent_specificity_gap,False
Q01-M12,ar,كيف يمكن تجديد التصريح؟ وشكرا,D01,D11,D01,cross_language_intent_specificity_gap,False
Q02-M01,en,How do I book a clinic appointment? please,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M02,en,How do I book a clinic appointment? today,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M03,en,How do I book a clinic appointment? now,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M04,en,How do I book a clinic appointment? for me,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M05,en,How do I book a clinic appointment? quickly,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M06,en,How do I book a clinic appointment? urgently,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M07,en,How do I book a clinic appointment? via mobile,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M08,en,How do I book a clinic appointment? in the app,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M09,en,How do I book a clinic appointment? online,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M10,en,How do I book a clinic appointment? through the portal,D02,D19,D02,hash_collision_candidate_ordering,False
Q02-M11,en,How do I book a clinic appointment? can you help,D02,D08,D02,modifier_noise_ranking_instability,False
Q02-M12,en,How do I book a clinic appointment? right now,D02,D19,D02,hash_collision_candidate_ordering,False
Q03-M01,ar,اين اجد جدول مواعيد الحافلة؟ فضلا,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M02,ar,اين اجد جدول مواعيد الحافلة؟ لو سمحت,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M03,ar,اين اجد جدول مواعيد الحافلة؟ من فضلك,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M04,ar,اين اجد جدول مواعيد الحافلة؟ الان,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M05,ar,اين اجد جدول مواعيد الحافلة؟ اليوم,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M06,ar,اين اجد جدول مواعيد الحافلة؟ بسرعة,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M07,ar,اين اجد جدول مواعيد الحافلة؟ للضرورة,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M08,ar,اين اجد جدول مواعيد الحافلة؟ عبر الجوال,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M09,ar,اين اجد جدول مواعيد الحافلة؟ من التطبيق,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M10,ar,اين اجد جدول مواعيد الحافلة؟ الكترونيا,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M11,ar,اين اجد جدول مواعيد الحافلة؟ ممكن تساعدني,D03,D14,D03,hash_collision_candidate_ordering,False
Q03-M12,ar,اين اجد جدول مواعيد الحافلة؟ وشكرا,D03,D14,D03,hash_collision_candidate_ordering,False
Q04-M01,en,How can I track my complaint? please,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M02,en,How can I track my complaint? today,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M03,en,How can I track my complaint? now,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M04,en,How can I track my complaint? for me,D04,D14,D04,cross_language_intent_specificity_gap,False
